Straupes pagasts	Plācis	Plācis
Strazdes pagasts	Strazde	Strazde
Strūžānu pagasts	Strūžāni	Strūžāni
Stāmerienas pagasts	Vecstāmeriena	Vecstāmeriena
Suntažu pagasts	Suntaži	Suntaži
Sunākstes pagasts	Sunākste	Sunākste
Susāju pagasts	Viļaka	Viļaka
Sutru pagasts	Sutri	Sutri
Svariņu pagasts	Svarinci	Svarinci
Sventes pagasts	Svente	Svente
Svitenes pagasts	Svitene	Svitene
Svētes pagasts	Svēte	Svēte (ciems)
Sēlpils pagasts	Sēlija	Sēlija (ciems)
Sēmes pagasts	Sēme	Sēme
Sērenes pagasts	Sērene	Sērene
Sēļu pagasts	Sēļi	Sēļi (Sēļu pagasts)
Sīļukalna pagasts	Sīļukalns	Sīļukalns (Sīļukalna pagasts)
Tabores pagasts	Tabore	Tabore
Tadaiķu pagasts	Lieģi	Lieģi
Taurenes pagasts	Taurene	Taurene
Taurupes pagasts	Taurupe	Taurupe
Tilžas pagasts	Tilža	Tilža
Tirzas pagasts	Tirza	Tirza
Tomes pagasts	Tome	Tome
Trapenes pagasts	Trapene	Trapene
Trikātas pagasts	Trikāta	Trikāta
Tumes pagasts	Tume	Tume
Turku pagasts	Zundāni	Zundāni (Turku pagasts)
Turlavas pagasts	Turlava	Turlava
Tārgales pagasts	Tārgale	Tārgale
Tērvetes pagasts	Zelmeņi	Zelmeņi
Tīnūžu pagasts	Tīnūži	Tīnūži
Ugāles pagasts	Ugāle	Ugāle
Ukru pagasts	Ukri	Ukri
Umurgas pagasts	Umurga	Umurga
Upmalas pagasts	Vecvārkava	Vecvārkava
Usmas pagasts	Usma	Usma
Užavas pagasts	Užava	Užava
Vaboles pagasts	Vabole	Vabole (ciems)
Vadakstes pagasts	Vadakste	Vadakste (ciems)
Vaidavas pagasts	Vaidava	Vaidava (Vaidavas pagasts)
Vaives pagasts	Vaive	Vaive
Vaiņodes pagasts	Vaiņode	Vaiņode
Valdgales pagasts	Pūņas	Pūņas
Valgundes pagasts	Valgunde	Valgunde
Valkas pagasts	Lugaži	Lugaži
Valles pagasts	Valle	Valle
Valmieras pagasts	Vanagi	Vanagi (Valmieras pagasts)
Vandzenes pagasts	Vandzene	Vandzene
Varakļānu pagasts	Kokari	Kokari (Varakļānu pagasts)
Variešu pagasts	Varieši	Varieši
Variņu pagasts	Variņi	Variņi
Vecates pagasts	Vecate	Vecate
Veclaicenes pagasts	Korneti	Korneti
Vecpiebalgas pagasts	Vecpiebalga	Vecpiebalga
Vecpils pagasts	Vecpils	Vecpils (Vecpils pagasts)
Vecsalienas pagasts	Červonka	Červonka
Vecsaules pagasts	Vecsaule	Vecsaule
Vectilžas pagasts	Vectilža	Vectilža
Vecumnieku pagasts	Vecumnieki	Vecumnieki
Vecumu pagasts	Borisova	Borisova (Vecumu pagasts)
Veselavas pagasts	Veselava	Veselava
Vestienas pagasts	Vestiena	Vestiena
Vidrižu pagasts	Gravas	Gravas (Vidrižu pagasts)
Viesatu pagasts	Viesatas	Viesatas
Viesturu pagasts	Bērstele	Bērstele (ciems)
Viesītes pagasts	Viesīte	Viesīte
Vietalvas pagasts	Vietalva	Vietalva
Vijciema pagasts	Vijciems	Vijciems
Vilces pagasts	Vilce	Vilce
Vilpulkas pagasts	Vilpulka	Vilpulka
Virbu pagasts	Jaunpagasts	Jaunpagasts
Vircavas pagasts	Vircava	Vircava
Virešu pagasts	Vireši	Vireši
Virgas pagasts	Paplaka	Paplaka
Viļānu pagasts	Viļāni	Viļāni
Viļķenes pagasts	Viļķene	Viļķene
Višķu pagasts	Špoģi	Špoģi
Vānes pagasts	Vāne	Vāne
Vārkavas pagasts	Vārkava	Vārkava
Vārmes pagasts	Vārme	Vārme
Vārves pagasts	Ventava	Ventava (Vārves pagasts)
Vērgales pagasts	Vērgale	Vērgale
Vērēmu pagasts	Sondori	Sondori
Vīksnas pagasts	Vīksna	Vīksna
Vīpes pagasts	Vīpe	Vīpe
Vītiņu pagasts	Vītiņi	Vītiņi
Zalves pagasts	Zalve	Zalve
Zantes pagasts	Zante	Zante
Zasas pagasts	Zasa	Zasa
Zaubes pagasts	Zaube	Zaube
Zaļenieku pagasts	Zaļenieki	Zaļenieki
Zaļesjes pagasts	Zaļesje	Zaļesje
Zaņas pagasts	Kareļi	Kareļi
Zebrenes pagasts	Zebrene	Zebrene
Zeltiņu pagasts	Zeltiņi	Zeltiņi
Zemītes pagasts	Zemīte	Zemīte
Zentenes pagasts	Zentene	Zentene
Ziemera pagasts	Māriņkalns	Māriņkalns
Zilākalna pagasts	Zilaiskalns	Zilaiskalns
Ziru pagasts	Ziras	Ziras
Zirņu pagasts	Zirņi	Zirņi (ciems)
Zlēku pagasts	Zlēkas	Zlēkas
Zosēnu pagasts	Melnbārži	Melnbārži
Zvirgzdenes pagasts	Zvirgzdene	Zvirgzdene
Zvārdes pagasts	Striķi	Striķi
Zvārtavas pagasts	Stepi	Stepi
Ābeļu pagasts	Brodi	Brodi
Ārlavas pagasts	Valdemārpils	Valdemārpils
Čornajas pagasts	Čornaja	Čornaja
Ēdoles pagasts	Ēdole	Ēdole
Ērgļu pagasts	Ērgļi	Ērgļi (Ērgļu pagasts)
Ērģemes pagasts	Ērģeme	Ērģeme
Ēveles pagasts	Ēvele	Ēvele (ciems)
Ģibuļu pagasts	Pastende	Pastende
Īles pagasts	Īle	Īle
Īslīces pagasts	Rītausmas	Rītausmas
Īvandes pagasts	Īvande	Īvande
Īves pagasts	Tiņģere	Tiņģere
Ķeipenes pagasts	Ķeipene	Ķeipene
Ķekavas pagasts	Ķekava	Ķekava
Ķepovas pagasts	Neikšāni	Neikšāni
Ķoņu pagasts	Ķoņi	Ķoņi
Ķūļciema pagasts	Ķūļciems	Ķūļciems
Ļaudonas pagasts	Ļaudona	Ļaudona
Ņukšu pagasts	Ņukši	Ņukši
Šēderes pagasts	Šēdere	Šēdere
Šķaunes pagasts	Šķaune	Šķaune
Šķeltovas pagasts	Šķeltova	Šķeltova
Šķilbēnu pagasts	Rekova	Rekova
Šķēdes pagasts	Šķēde	Šķēde
Ūdrīšu pagasts	Augstkalne	Augstkalne (Ūdrīšu pagasts)
Žīguru pagasts	Žīguri	Žīguri
